preference_key,movie_title,star_cast,rating,year,place,vote,link
4,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.221718854520917,1927,116,,/title/tt0017136/
1,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.221663899736276,2011,117,,/title/tt1832382/
2,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.218834033185727,2000,118,,/title/tt0208092/
3,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.21852763475472,1988,119,,/title/tt0095016/
4,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.218177731938352,1948,120,,/title/tt0040522/
1,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.217188335323858,1989,121,,/title/tt0097576/
2,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.21134191121813,2019,122,,/title/tt8579674/
3,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.209458631478462,2007,123,,/title/tt0986264/
4,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.203784737744877,2004,124,,/title/tt0363163/
1,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.20171113572172,1965,125,,/title/tt0059578/
2,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.200134204881245,2005,126,,/title/tt0372784/
3,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.198182460765551,2016,127,,/title/tt5074352/
4,El chico,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.193254005776444,1921,128,,/title/tt0012349/
1,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191666881870754,1959,129,,/title/tt0053291/
2,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180920573284608,1950,130,,/title/tt0042192/
3,El padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.18040442177686,2020,131,,/title/tt10272386/
4,Green Book Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.17567115922509,2018,132,,/title/tt6966692/
1,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.174020163096001,2013,133,,/title/tt0993846/
2,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.169717089141752,1961,134,,/title/tt0055031/
3,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.16541767132619,1985,135,,/title/tt0089881/
